Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Difficulty_Level,Cooking_Step
R001,Classic Lasagna,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Medium,"Step 1: Arrange Beef, Taco Shells, Lettuce, Cheese, Tomato for Classic Lasagna. Step 2: Clean and chop Beef. Step 3: Cook Taco Shells and Lettuce together in a skillet. Step 4: Add Cheese and Tomato, cooking until aromatic. Step 5: Serve Classic Lasagna immediately."
R002,Chicken Alfredo,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Easy,"Step 1: For Chicken Alfredo, gather Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic. Step 2: Prep the ingredients by slicing Spaghetti and Ground Beef. Step 3: Cook Tomato Sauce and Onion in a skillet until golden. Step 4: Add Garlic and mix well. Step 5: Serve the Chicken Alfredo with a garnish of your choice."
R003,Vegetable Samosa,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Medium,"Step 1: Gather Chicken, Curry Powder, Coconut Milk, Onion, Garlic for Vegetable Samosa. Step 2: Prepare Chicken by chopping and seasoning. Step 3: Sauté Curry Powder and Coconut Milk in a heated pan. Step 4: Stir in Onion and Garlic, cooking until well combined. Step 5: Serve Vegetable Samosa with your favorite side dish."
R005,Beef Stroganoff,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Easy,"Step 1: Gather Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic for Beef Stroganoff. Step 2: Prepare Broccoli by chopping and seasoning. Step 3: Sauté Carrot and Bell Pepper in a heated pan. Step 4: Stir in Soy Sauce and Garlic, cooking until well combined. Step 5: Serve Beef Stroganoff with your favorite side dish."
R011,Shrimp Scampi,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Hard,"Step 1: For Shrimp Scampi, gather Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil. Step 2: Prep the ingredients by slicing Pizza Dough and Tomato Sauce. Step 3: Cook Mozzarella and Basil in a skillet until golden. Step 4: Add Olive Oil and mix well. Step 5: Serve the Shrimp Scampi with a garnish of your choice."
R100,Eggplant Parmesan,Indian,"Tomato, Basil, Carrot, Mushrooms, Garlic",Easy,"Step 1: Ready your ingredients for Eggplant Parmesan: Tomato, Basil, Carrot, Mushrooms, Garlic. Step 2: Cut Tomato into small pieces and prep Basil. Step 3: Heat a pan and cook Carrot until browned. Step 4: Add Mushrooms and Garlic, stirring continuously. Step 5: Plate the Eggplant Parmesan and enjoy the flavorful meal."
R101,Miso Soup,Japanese,"Carrot, Curry Powder, Cucumber, Onion, Tomato",Easy,"Step 1: Lay out the ingredients for Miso Soup: Carrot, Curry Powder, Cucumber, Onion, Tomato. Step 2: Start by preparing Carrot and Curry Powder. Step 3: In a heated pan, cook Cucumber and Onion until fragrant. Step 4: Mix in Tomato and adjust the seasoning to taste. Step 5: Allow the dish to cook for a few minutes before serving Miso Soup."
R102,Peking Duck,Indian,"Tofu, Basil, Rice, Cucumber, Mushrooms",Easy,"Step 1: Collect the ingredients needed for Peking Duck: Tofu, Basil, Rice, Cucumber, Mushrooms. Step 2: Start by cutting Tofu into bite-sized pieces. Step 3: In a heated skillet, cook Basil and Rice together. Step 4: Mix in Cucumber and season to taste. Step 5: Add Mushrooms as a finishing touch. Step 6: Enjoy your freshly made Peking Duck."
R103,Caesar Salad,Italian,"Mushrooms, Cheese, Onion, Tomato, Cucumber",Medium,"Step 1: Ready your ingredients for Caesar Salad: Mushrooms, Cheese, Onion, Tomato, Cucumber. Step 2: Cut Mushrooms into small pieces and prep Cheese. Step 3: Heat a pan and cook Onion until browned. Step 4: Add Tomato and Cucumber, stirring continuously. Step 5: Plate the Caesar Salad and enjoy the flavorful meal."
R104,Chicken Tikka Masala,Korean,"Tofu, Olive Oil, Tomato, Cucumber, Cheese",Medium,"Step 1: Collect the ingredients needed for Chicken Tikka Masala: Tofu, Olive Oil, Tomato, Cucumber, Cheese. Step 2: Start by cutting Tofu into bite-sized pieces. Step 3: In a heated skillet, cook Olive Oil and Tomato together. Step 4: Mix in Cucumber and season to taste. Step 5: Add Cheese as a finishing touch. Step 6: Enjoy your freshly made Chicken Tikka Masala."
R105,Ratatouille,Chinese,"Basil, Lettuce, Garlic, Bell Pepper, Chicken",Hard,"Step 1: Prepare for Ratatouille by gathering the following: Basil, Lettuce, Garlic, Bell Pepper, Chicken. Step 2: Begin with Basil by slicing it thinly. Step 3: Combine Lettuce and Garlic in a hot pan and cook until softened. Step 4: Add Bell Pepper and mix evenly. Step 5: Finish with Chicken for a flavorful dish. Step 6: Serve your delicious Ratatouille."
R106,Margherita Pizza,Chinese,"Tomato, Garlic, Tofu, Onion, Carrot",Hard,"Step 1: Collect the ingredients needed for Margherita Pizza: Tomato, Garlic, Tofu, Onion, Carrot. Step 2: Start by cutting Tomato into bite-sized pieces. Step 3: In a heated skillet, cook Garlic and Tofu together. Step 4: Mix in Onion and season to taste. Step 5: Add Carrot as a finishing touch. Step 6: Enjoy your freshly made Margherita Pizza."
